"MTurk_ID","username","id","Role","survey","mentions"
"A2EED3HLTA96CP","Luke_88",2691,"participant",2,1
"A2EED3HLTA96CP","Luke_88",2691,"participant",3,1
"A2EED3HLTA96CP","Luke_88",2691,"participant",4,0
"A2EED3HLTA96CP","Luke_88",2691,"participant",5,0
"A2DDLZD87UHANI","Malik_1436",2545,"sockpuppet",1,0
"A2DDLZD87UHANI","Malik_1436",2545,"sockpuppet",2,4
"A2DDLZD87UHANI","Malik_1436",2545,"sockpuppet",3,1
"A2DDLZD87UHANI","Malik_1436",2545,"sockpuppet",4,0
"A2DDLZD87UHANI","Malik_1436",2545,"sockpuppet",5,0
"A2DDLZD87UHANI","Malik_3915",2540,"sockpuppet",1,2
"A2DDLZD87UHANI","Malik_3915",2540,"sockpuppet",2,1
"A2DDLZD87UHANI","Malik_3915",2540,"sockpuppet",3,3
"A2DDLZD87UHANI","Malik_3915",2540,"sockpuppet",4,3
"APRZ7BR8C0ZMQ","Malik_7556",2390,"sockpuppet",1,0
"APRZ7BR8C0ZMQ","Malik_7556",2390,"sockpuppet",2,0
"APRZ7BR8C0ZMQ","Malik_7556",2390,"sockpuppet",3,0
"APRZ7BR8C0ZMQ","Malik_7556",2390,"sockpuppet",4,0
"APRZ7BR8C0ZMQ","Malik_7556",2390,"sockpuppet",5,0
"ARI1EMAHUA9PO","Molly_5679",2527,"sockpuppet",1,0
"A2MYLV7DGUL42B","Molly_6880",2562,"sockpuppet",1,0
"A2MYLV7DGUL42B","Molly_6880",2562,"sockpuppet",4,0
"A38RHRTIP0PYNU","Molly_6953",2567,"sockpuppet",2,0
"ARLGZWN6W91WD","Molly_7391",2636,"participant",1,0
"A25XQ0GFZ57PPU","Molly_8684",2293,"observer",1,0
"A25XQ0GFZ57PPU","Molly_8684",2293,"observer",3,0
"A25XQ0GFZ57PPU","Molly_8684",2293,"observer",5,0
"A28ANDQ58MEMGW","Molly_9336",2577,"participant",1,1
"A28ANDQ58MEMGW","Molly_9336",2577,"participant",2,1
"A28ANDQ58MEMGW","Molly_9336",2577,"participant",3,1
"A28ANDQ58MEMGW","Molly_9336",2577,"participant",4,1
"A28ANDQ58MEMGW","Molly_9336",2577,"participant",5,1
"A3L5XFNSOY6QET","Raven_1194",2360,"observer",1,0
"A3L5XFNSOY6QET","Raven_1194",2360,"observer",2,0
"A3L5XFNSOY6QET","Raven_1194",2360,"observer",3,0
"A3L5XFNSOY6QET","Raven_1194",2360,"observer",4,0
"A3L5XFNSOY6QET","Raven_1194",2360,"observer",5,0
"A3U2VUZ2L7HIWG","Raven_5836",2718,"participant",1,0
"A3U2VUZ2L7HIWG","Raven_5836",2718,"participant",2,0
"A3U2VUZ2L7HIWG","Raven_5836",2718,"participant",3,0
"A3U2VUZ2L7HIWG","Raven_5836",2718,"participant",4,0
"A2UAHW3Q7S45JP","Raven_8381",2333,"observer",1,0
"A2UAHW3Q7S45JP","Raven_8381",2333,"observer",3,0
"A2UAHW3Q7S45JP","Raven_8381",2333,"observer",4,0
"A2DDLZD87UHANI","Scott_2906",2541,"sockpuppet",1,0
"A2DDLZD87UHANI","Scott_2906",2541,"sockpuppet",2,0
"A2DDLZD87UHANI","Scott_2906",2541,"sockpuppet",3,0
"A2DDLZD87UHANI","Scott_2906",2541,"sockpuppet",4,0
