id|query|createdAt|updatedAt|UserId
194|jack|2020-09-03 13:39:27.194+00|2020-09-03 13:39:27.194+00|2559
195|jack|2020-09-03 13:39:36.582+00|2020-09-03 13:39:36.582+00|2559
196|climate change|2020-09-03 13:40:10.684+00|2020-09-03 13:40:10.684+00|2623
197|jacob|2020-09-03 13:40:33.464+00|2020-09-03 13:40:33.464+00|2559
198|jacob|2020-09-03 13:40:49.073+00|2020-09-03 13:40:49.073+00|2559
199|jacob 7601|2020-09-03 13:40:59.11+00|2020-09-03 13:40:59.11+00|2559
200|jacob 7601|2020-09-03 13:41:02.566+00|2020-09-03 13:41:02.566+00|2559
201|jacob|2020-09-03 13:41:14.75+00|2020-09-03 13:41:14.75+00|2559
202|jacob|2020-09-03 13:45:39.764+00|2020-09-03 13:45:39.764+00|2560
203|kathryn|2020-09-03 13:48:09.66+00|2020-09-03 13:48:09.66+00|2560
204|covid|2020-09-03 13:48:17.949+00|2020-09-03 13:48:17.949+00|1976
205|""|2020-09-03 13:48:37.65+00|2020-09-03 13:48:37.65+00|2703
206|emily|2020-09-03 13:49:52.766+00|2020-09-03 13:49:52.766+00|2560
207|emily|2020-09-03 13:50:03.432+00|2020-09-03 13:50:03.432+00|2560
208|emily|2020-09-03 13:50:10.679+00|2020-09-03 13:50:10.679+00|2560
209|emily|2020-09-03 13:50:16.244+00|2020-09-03 13:50:16.244+00|2560
210|emily|2020-09-03 13:50:19.752+00|2020-09-03 13:50:19.752+00|2560
212|emily|2020-09-03 13:50:27.45+00|2020-09-03 13:50:27.45+00|2560
211|emily|2020-09-03 13:50:24.046+00|2020-09-03 13:50:24.046+00|2560
213|""|2020-09-03 13:55:27.892+00|2020-09-03 13:55:27.892+00|2683
214|gmo|2020-09-03 13:56:40.289+00|2020-09-03 13:56:40.289+00|2683
215|jacob|2020-09-03 14:00:10.645+00|2020-09-03 14:00:10.645+00|2561
216|gmo|2020-09-03 14:01:36.467+00|2020-09-03 14:01:36.467+00|2683
217|kathryn|2020-09-03 14:01:51.226+00|2020-09-03 14:01:51.226+00|2561
218|jack|2020-09-03 14:02:49.034+00|2020-09-03 14:02:49.034+00|2561
219|jack|2020-09-03 14:04:49.703+00|2020-09-03 14:04:49.703+00|2561
